ALLOCATE	ALLOC
AUTOMATIC	AUTO
BINARY	BIN
CHARACTER	CHAR
COLUMN	COL
CONDITION	COND
CONVERSION	CONV
DECIMAL	DEC
DECLARE	DCL
DECLARESIZE	DCLSIZE
DEFINED	DEF
DIMENSION	DIM
ENVIRONMENT	ENV
EXTERNAL	EXT
FIXEDOVERFLOW	FOFL
IDENTICAL	IDENT
INITIAL	INIT
INTERNAL	INT
NOCONVERSION	NOCONV
NOFIXEDOVERFLOW	NOFOFL
NONVARYING	NONVAR
NOOVERFLOW	NOOFL
NOUNDERFLOW	NOUFL
NOZERODIVIDE	NOZDIV
OVERFLOW	OFL
PARAMETER	PARM
PICTURE	PIC
POINTER	PTR
PRECISION	PREC
PROCEDURE	PROC
SEQUENTIAL	SEQL
UNALIGNED	UNAL
UNDERFLOW	UFL
UNDEFINEDFILE	UNDF
VARYING	VAR
ZERODIVIDE	ZDIV 
